type,symbol,name,shares,price,value,dayChange,dayChangePct,sector,assetClass,costBasis,totalGain,gainPct,dividendYield,peRatio
portfolio,,,,,,,,,,,,,,,,,159251,683.75,0.0043,6,2024-06-30
holding,XOM,Exxon Mobil,140,109.22,15290.80,85.40,0.56,Energy,Equity,13000,2290.80,17.62,3.15,11.4
holding,JNJ,Johnson & Johnson,90,158.40,14256.00,-72.00,-0.50,Healthcare,Equity,15000,-744.00,-4.96,2.90,15.8
holding,BAC,Bank of America,300,31.45,9435.00,60.00,0.64,Financials,Equity,8700,735.00,8.45,2.80,9.9
holding,DIS,Walt Disney Co,120,92.30,11076.00,48.00,0.44,Communication,Equity,13800,-2724.00,-19.74,0.00,38.0
holding,ORCL,Oracle Corp,110,126.10,13871.00,77.00,0.56,Technology,Equity,10200,3671.00,35.99,1.35,33.2
holding,CRM,Salesforce Inc,75,210.50,15787.50,132.75,0.85,Technology,Equity,12800,2987.50,23.35,0.00,61.0
holding,AMD,Advanced Micro Devices,95,162.80,15466.00,-190.00,-1.21,Technology,Equity,14000,1466.00,10.47,0.00,45.5
holding,LLY,Eli Lilly & Co,25,885.40,22135.00,265.00,1.21,Healthcare,Equity,17000,5135.00,30.21,0.75,79.0
holding,KO,Coca-Cola Co,180,59.12,10641.60,21.60,0.20,Consumer Staples,Equity,9900,741.60,7.49,3.05,24.1
holding,COST,Costco Wholesale,40,782.30,31292.00,256.00,0.82,Consumer Staples,Equity,25400,5892.00,23.21,0.70,43.2
holding,BHARTIARTL,Bharti Airtel,100,900.50,90050.00,120.00,0.13,Telecom,Equity,85000,5050.00,5.94,0.50,22.1
holding,TATASTEEL,Tata Steel,80,120.75,9660.00,45.00,0.47,Materials,Equity,9000,660.00,7.33,2.10,13.5
holding,TITAN,Titan Company,60,350.20,21012.00,60.00,0.29,Consumer Discretionary,Equity,20000,1012.00,5.06,0.80,55.0
holding,HDFCLIFE,HDFC Life,50,600.00,30000.00,30.00,0.10,Financials,Equity,28000,2000.00,7.14,0.40,80.0
holding,COALINDIA,Coal India,150,250.00,37500.00,75.00,0.20,Energy,Equity,35000,2500.00,7.14,5.00,8.0
holding,JSWSTEEL,JSW Steel,90,850.00,76500.00,90.00,0.12,Materials,Equity,70000,6500.00,9.29,1.50,18.0
holding,NESTLEIND,Nestle India,20,2400.00,48000.00,100.00,0.21,Consumer Staples,Equity,45000,3000.00,6.67,1.20,70.0
holding,ICICIBANK,ICICI Bank,110,950.00,104500.00,110.00,0.11,Financials,Equity,100000,4500.00,4.50,0.30,20.0
holding,MARUTI,Maruti Suzuki,30,11000.00,330000.00,300.00,0.09,Consumer Discretionary,Equity,320000,10000.00,3.13,0.60,35.0
holding,ULTRACEMCO,UltraTech Cement,25,8500.00,212500.00,250.00,0.12,Materials,Equity,200000,12500.00,6.25,0.40,40.0
holding,AAPL,Apple Inc,100,180.50,18050.00,50.00,0.28,Technology,Equity,15000,3050.00,20.33,0.60,28.0
holding,MSFT,Microsoft Corp,80,320.10,25608.00,80.00,0.31,Technology,Equity,22000,3608.00,16.40,0.80,35.0
holding,GOOGL,Alphabet Inc,60,140.20,8412.00,30.00,0.36,Communication,Equity,7000,1412.00,20.17,0.00,30.0
holding,AMZN,Amazon.com Inc,50,130.00,6500.00,25.00,0.39,Consumer Discretionary,Equity,5000,1500.00,30.00,0.00,60.0
holding,TSLA,Tesla Inc,40,250.00,10000.00,40.00,0.40,Consumer Discretionary,Equity,8000,2000.00,25.00,0.00,70.0
performance,,,,,,,,,,,,,,,"1Y",11,159251,,,,6,2024-06-30
